#source_id,id2,RA,Dec,gl,gb,amplitude,beyond1std,fpr_mid20,fpr_mid35,fpr_mid50,fpr_mid65,fpr_mid80,linear_trend,max_slope,med_abs_dev,med_buf_range_per,pair_slope_trend,percent_amplitude,pdfp,skew,kurtosis,std,magratio,data_num,npeaks,peakstats,class
CSS100615:215815+094709,1109117038749,329.563676,9.785966,87.065072,-34.395110,2.395000,0.057692,0.018366,0.040671,0.073045,0.103639,0.144421,-0.000183,525.000004,0.175000,0.948718,0.633333,45.558609,4.535544,-3.837628,15.196580,0.763745,0.480769,312,6,0.140,0
CSS100616:164625+180808,7052711808611021719,251.603217,18.135776,119.261714,34.982310,0.822268,0.583333,0.107880,0.382085,0.725594,0.882831,0.968474,0.000785,73.515041,0.677500,1.000000,0.545455,1.182872,1.660001,0.005962,-1.394331,0.594166,0.500000,12,1,0.000,0
CSS100619:165856-005403,5060700109111062768,254.733802,-0.900908,137.330968,23.758645,0.769656,0.370370,0.145603,0.257662,0.297136,0.461990,0.882433,0.000025,57.569048,0.282521,1.000000,0.384615,0.660624,1.070265,0.293398,-0.498836,0.392494,0.481481,27,1,0.000,0
CSS100624:220031+033431,1104118019332,330.130129,3.575091,92.388834,-38.943407,1.905000,0.275660,0.046239,0.093921,0.158271,0.305108,0.604299,-0.000108,197.368420,0.460000,0.917889,0.433333,8.375620,6.629076,-0.931772,0.154836,0.853121,0.495601,341,21,0.274,0
CSS100624:224505+011547,5051710112211015499,341.272308,1.263178,84.179573,-48.664402,1.571454,0.468750,0.350834,0.699212,0.808289,0.884798,0.932901,0.000267,108.256304,0.756803,0.875000,0.533333,1.162565,1.879954,0.245186,-1.510895,1.029018,0.500000,32,0,0.000,0
CSS100705:162520+120309,1112087025076,246.334520,12.052433,128.668621,37.257543,3.830000,0.095975,0.236499,0.351597,0.479467,0.613058,0.750780,-0.000579,240.740741,0.530000,0.969040,0.366667,143.543977,1.824935,-3.096883,13.996277,1.024753,0.495356,323,10,0.249,0
CSS100706:152538-075641,8042500708221007950,231.407713,-7.944822,160.283095,38.185272,0.348888,0.181818,0.163804,0.198307,0.374802,0.560834,0.623946,-0.000228,54.083945,0.094206,1.000000,0.400000,0.372751,0.410960,1.398511,1.581914,0.181229,0.454545,11,0,0.000,0
CSS100706:172516+073249,10061110709311091476,261.314697,7.546958,125.869345,22.019594,2.098272,0.600000,0.953194,0.957999,0.980519,0.993133,0.999111,0.159187,84.370575,1.890272,0.000000,0.555556,1.010606,1.966717,0.010873,-1.985367,1.987980,0.500000,10,0,0.000,0
CSS100707:164950+035835,1104090048696,252.459919,3.976292,133.887511,28.160236,2.865000,0.067669,0.031873,0.063044,0.095269,0.145376,0.271347,0.000035,269.999999,0.215000,0.951128,0.400000,67.233146,4.104636,-3.326992,11.500304,0.906720,0.500000,266,6,0.353,0
CSS100707:172952+220808,1121089102121,262.464892,22.135595,110.687920,26.857553,1.890000,0.201970,0.025891,0.067260,0.147754,0.272768,0.817494,0.000216,403.225807,0.330000,0.896552,0.566667,14.848932,10.121458,-1.263427,0.528217,0.954824,0.497537,203,16,0.372,0
CSS100911:234441-001205,7111700112711031504,356.168966,-0.201386,65.246732,-58.725312,1.545664,0.454545,0.042283,0.090281,0.492799,0.891325,0.927344,0.000188,55.132314,0.583748,0.909091,0.500000,5.502578,5.710494,-0.510051,-1.119181,1.082994,0.454545,11,1,0.000,0
CSS100916:215226-012850,10091600111711024913,328.106998,-1.480546,99.191632,-40.449437,1.388588,0.500000,0.180589,0.646155,0.913881,0.963984,0.992169,0.098660,106.305810,0.526215,0.625000,0.571429,6.483801,6.850392,-0.438894,-1.701212,1.183413,0.500000,8,0,0.000,0
CSS101007:000938-121017,1012001033373,2.409352,-12.171224,66.122554,-72.197600,3.315000,0.327869,0.005293,0.016211,0.026155,0.233601,0.845701,0.000567,194.690265,0.790000,0.770492,0.533333,106.646521,74.906431,-1.037803,-0.338796,2.046913,0.491803,61,4,0.353,0
CSS101009:005825+283304,1129005008091,14.602412,28.551194,210.507276,-34.003442,3.070000,0.087302,0.110078,0.213363,0.299719,0.430155,0.582993,-0.000246,239.795918,0.220000,0.976190,0.500000,109.662378,1.386367,-4.653651,29.384494,0.705066,0.496032,252,6,0.052,0
CSS101009:210034+055436,6100210711211007397,315.143152,5.910059,100.849335,-25.607291,0.290481,0.400000,0.046683,0.127466,0.578254,0.796436,0.890149,-0.000166,21.587708,0.051136,1.000000,0.555556,0.526280,0.569861,-0.804878,-1.111540,0.204586,0.500000,10,1,0.000,0
CSS101010:223019+292849,5041012910611024399,337.578189,29.480131,65.869549,-24.151443,0.489133,0.400000,0.454881,0.564556,0.634583,0.708970,0.874044,0.000182,22.752235,0.322579,1.000000,0.500000,0.453330,0.752393,0.043390,-1.638117,0.346277,0.466667,15,0,0.000,0
CSS101108:100658+233724,1123050021389,151.743359,23.623423,126.383790,53.405860,2.060000,0.142132,0.029364,0.046825,0.069771,0.101622,0.157951,-0.000099,1051.546391,0.185000,0.949239,0.500000,12.365813,4.708532,-2.211393,6.371853,0.665818,0.500000,394,8,0.382,0
